1099,432,-1.245000,2496,883,5.340000
1089,429,-1.290000,2572,907,5.700000
1089,429,-1.290000,2543,898,5.565000
1088,429,-1.290000,2610,919,5.880000
1090,429,-1.290000,2609,919,5.880000
1102,433,-1.230000,2628,925,5.970000
1092,430,-1.275000,2679,942,6.225000
1084,427,-1.320000,2651,932,6.075000
1086,428,-1.305000,2519,890,5.445000
1084,427,-1.320000,2726,957,6.450000
1096,431,-1.260000,2665,937,6.150000
1092,430,-1.275000,2452,868,5.115000
1079,426,-1.335000,2731,958,6.465000
1087,428,-1.305000,2625,924,5.955000
1076,425,-1.350000,2701,949,6.330000
1100,433,-1.230000,2735,960,6.495000
1088,429,-1.290000,2667,938,6.165000
1082,427,-1.320000,2733,959,6.480000
1105,434,-1.215000,2777,973,6.690000
1083,427,-1.320000,2691,945,6.270000
1095,431,-1.260000,2719,954,6.405000
1094,431,-1.260000,2752,965,6.570000
1087,428,-1.305000,2726,957,6.450000
1086,428,-1.305000,2797,980,6.795000
1093,430,-1.275000,2880,1006,7.185000
1079,426,-1.335000,2807,983,6.840000
1079,426,-1.335000,2788,977,6.750000
1076,425,-1.350000,2581,910,5.745000
1088,429,-1.290000,2566,905,5.670000
1087,428,-1.305000,2545,898,5.565000
1090,429,-1.290000,2321,826,4.485000
1084,427,-1.320000,2290,816,4.335000
1083,427,-1.320000,2260,806,4.185000
1096,431,-1.260000,2094,753,3.390000
1073,424,-1.365000,1963,711,2.760000
1075,425,-1.350000,1958,709,2.730000
1104,434,-1.215000,1844,672,2.175000
1113,437,-1.170000,1896,689,2.430000
1097,432,-1.245000,1994,721,2.910000
1086,428,-1.305000,1901,691,2.460000
1100,433,-1.230000,1852,675,2.220000
1099,432,-1.245000,1940,703,2.640000
1094,431,-1.260000,1777,651,1.860000
1094,431,-1.260000,1767,648,1.815000
1085,428,-1.305000,1726,634,1.605000
1100,433,-1.230000,1815,663,2.040000
1093,430,-1.275000,1787,654,1.905000
1075,425,-1.350000,1592,591,0.960000
1091,430,-1.275000,1669,616,1.335000
1089,429,-1.290000,1683,620,1.395000
1088,429,-1.290000,1706,628,1.515000
1104,434,-1.215000,1474,553,0.390000
1073,424,-1.365000,1636,605,1.170000
1080,426,-1.335000,1608,596,1.035000
1077,425,-1.350000,1557,580,0.795000
1074,424,-1.365000,1628,603,1.140000
1093,430,-1.275000,1581,588,0.915000
1111,436,-1.185000,1339,510,-0.255000
1084,427,-1.320000,1424,537,0.150000
1086,428,-1.305000,1424,537,0.150000
1081,426,-1.335000,1481,555,0.420000
1092,430,-1.275000,1520,568,0.615000
1083,427,-1.320000,1445,544,0.255000
1088,429,-1.290000,1359,516,-0.165000
1098,432,-1.245000,1592,591,0.960000
1091,430,-1.275000,1420,536,0.135000
1083,427,-1.320000,1580,587,0.900000
1099,432,-1.245000,1733,637,1.650000
1075,425,-1.350000,1834,669,2.130000
1087,428,-1.305000,2140,768,3.615000
1088,429,-1.290000,2519,890,5.445000
1085,428,-1.305000,2667,938,6.165000
1078,425,-1.350000,2661,936,6.135000
1079,426,-1.335000,2622,923,5.940000
1097,432,-1.245000,2701,949,6.330000
1080,426,-1.335000,2688,944,6.255000
1083,427,-1.320000,2564,904,5.655000
1074,424,-1.365000,2627,925,5.970000
1093,430,-1.275000,2684,943,6.240000
1094,431,-1.260000,2592,913,5.790000
1087,428,-1.305000,2642,930,6.045000
1069,423,-1.380000,2641,929,6.030000
1096,431,-1.260000,2603,917,5.850000
1094,431,-1.260000,2557,902,5.625000
1088,429,-1.290000,2531,894,5.505000
1086,428,-1.305000,2594,914,5.805000
1086,428,-1.305000,2668,938,6.165000
1064,421,-1.410000,2626,924,5.955000
1068,422,-1.395000,2691,945,6.270000
1094,431,-1.260000,2594,914,5.805000
1099,432,-1.245000,2691,945,6.270000
1091,430,-1.275000,2616,921,5.910000
1070,423,-1.380000,2602,917,5.850000
