raising barrel:
I (252) cpu_start: ESP-IDF:          v3.3-beta1-1-ge176e26-dirty
I (259) cpu_start: Starting app cpu, entry point is 0x40080ea8
0x40080ea8: call_start_cpu1 at /home/robert/esp/esp-idf/components/esp32/cpu_start.c:261

I (0) cpu_start: App cpu up.
I (270) heap_init: Initializing. RAM available for dynamic allocation:
I (276) heap_init: At 3FFAE6E0 len 00001920 (6 KiB): DRAM
I (282) heap_init: At 3FFB2EE0 len 0002D120 (180 KiB): DRAM
I (289) heap_init: At 3FFE0440 len 00003AE0 (14 KiB): D/IRAM
I (295) heap_init: At 3FFE4350 len 0001BCB0 (111 KiB): D/IRAM
I (301) heap_init: At 40089544 len 00016ABC (90 KiB): IRAM
I (308) cpu_start: Pro cpu start user code
I (326) cpu_start: Starting scheduler on PRO CPU.
I (0) cpu_start: Starting scheduler on APP CPU.
eFuse Two Point: NOT supported
eFuse Vref: Supported
Characterized using eFuse Vref
raw1,voltage1(mV),pressure1(psi),raw2,voltage2(mV),pressure2(psi)
1089,429,-1.290000,3104,1079,8.280000
1076,425,-1.350000,2987,1041,7.710000
1079,426,-1.335000,2995,1043,7.740000
1076,425,-1.350000,3102,1078,8.265000
1086,428,-1.305000,3106,1079,8.280000
1086,428,-1.305000,3088,1073,8.190000
1081,426,-1.335000,3026,1053,7.890000
1105,434,-1.215000,3012,1049,7.830000
1098,432,-1.245000,3037,1057,7.950000
1110,436,-1.185000,3109,1080,8.295000
1096,431,-1.260000,3121,1084,8.355000
1095,431,-1.260000,3114,1082,8.325000
1084,427,-1.320000,3038,1057,7.950000
1094,431,-1.260000,3082,1071,8.160000
1083,427,-1.320000,3055,1063,8.040000
1091,430,-1.275000,3129,1087,8.400000
1097,432,-1.245000,3063,1065,8.070000
1090,429,-1.290000,3153,1094,8.505000
1082,427,-1.320000,3075,1069,8.130000
1080,426,-1.335000,3093,1075,8.220000
1099,432,-1.245000,3036,1057,7.950000
1076,425,-1.350000,3085,1072,8.175000
1081,426,-1.335000,3032,1055,7.920000
1067,422,-1.395000,2991,1042,7.725000
1088,429,-1.290000,3081,1071,8.160000
1090,429,-1.290000,3029,1054,7.905000
1095,431,-1.260000,3039,1058,7.965000
1069,423,-1.380000,3014,1049,7.830000
1099,432,-1.245000,3050,1061,8.010000
1081,426,-1.335000,3094,1075,8.220000
1085,428,-1.305000,3010,1048,7.815000
1078,425,-1.350000,3078,1070,8.145000
1075,425,-1.350000,3073,1069,8.130000
1102,433,-1.230000,2972,1036,7.635000
1066,422,-1.395000,2969,1035,7.620000
1089,429,-1.290000,3068,1067,8.100000
1099,432,-1.245000,3001,1045,7.770000
1089,429,-1.290000,3045,1059,7.980000
1086,428,-1.305000,3022,1052,7.875000
1098,432,-1.245000,3047,1060,7.995000
1083,427,-1.320000,3093,1075,8.220000
1100,433,-1.230000,3025,1053,7.890000
