1452,546,0.465000,1428,538,0.165000
1460,549,0.510000,1448,545,0.270000
1441,542,0.405000,1415,534,0.105000
1439,542,0.405000,1428,538,0.165000
1449,545,0.450000,1424,537,0.150000
1458,548,0.495000,1448,545,0.270000
1445,544,0.435000,1422,536,0.135000
1451,546,0.465000,1416,534,0.105000
1441,542,0.405000,1407,532,0.075000
1448,545,0.450000,1428,538,0.165000
1441,542,0.405000,1456,547,0.300000
1445,544,0.435000,1415,534,0.105000
1428,538,0.345000,1408,532,0.075000
1435,541,0.390000,1434,540,0.195000
1436,541,0.390000,1454,547,0.300000
1434,540,0.375000,1471,552,0.375000
1460,549,0.510000,1428,538,0.165000
1441,542,0.405000,1451,546,0.285000
1455,547,0.480000,1411,533,0.090000
1437,541,0.390000,1431,539,0.180000
1438,542,0.405000,1428,538,0.165000
1440,542,0.405000,1438,542,0.225000
1435,541,0.390000,1438,542,0.225000
1462,549,0.510000,1424,537,0.150000
1442,543,0.420000,1432,540,0.195000
1438,542,0.405000,1457,548,0.315000
1435,541,0.390000,1451,546,0.285000
1448,545,0.450000,1408,532,0.075000
1446,544,0.435000,1416,534,0.105000
1443,543,0.420000,1439,542,0.225000
1444,543,0.420000,1421,536,0.135000
1444,543,0.420000,1444,543,0.240000
1443,543,0.420000,1439,542,0.225000
1441,542,0.405000,1428,538,0.165000
1437,541,0.390000,1446,544,0.255000
1449,545,0.450000,1433,540,0.195000
1449,545,0.450000,1443,543,0.240000
1452,546,0.465000,1430,539,0.180000
1464,550,0.525000,1462,549,0.330000
1463,550,0.525000,1423,537,0.150000
1444,543,0.420000,1439,542,0.225000
1460,549,0.510000,1433,540,0.195000
1449,545,0.450000,1458,548,0.315000
1448,545,0.450000,1432,540,0.195000
1454,547,0.480000,1447,544,0.255000
1440,542,0.405000,1435,541,0.210000
1446,544,0.435000,1437,541,0.210000
1453,546,0.465000,1446,544,0.255000
1454,547,0.480000,1445,544,0.255000
1453,546,0.465000,1427,538,0.165000
1459,548,0.495000,1444,543,0.240000
1442,543,0.420000,1455,547,0.300000
1462,549,0.510000,1433,540,0.195000
1464,550,0.525000,1448,545,0.270000
1450,545,0.450000,1441,542,0.225000
1457,548,0.495000,1442,543,0.240000
1451,546,0.465000,1450,545,0.270000
1461,549,0.510000,1444,543,0.240000
1460,549,0.510000,1425,537,0.150000
1472,552,0.555000,1437,541,0.210000
1463,550,0.525000,1463,550,0.345000
1465,550,0.525000,1451,546,0.285000
1476,554,0.585000,1482,556,0.435000
1461,549,0.510000,1471,552,0.375000
1463,550,0.525000,1454,547,0.300000
1455,547,0.480000,1439,542,0.225000
1474,553,0.570000,1462,549,0.330000
1471,552,0.555000,1455,547,0.300000
1465,550,0.525000,1444,543,0.240000
1476,554,0.585000,1447,544,0.255000
